step,loss,acc,freq_ratio,mean_freq_khz,max_temp_c,throttle_delta,governor,epp
99,1.638213,0.262500,0.506,2763248,91.4,0,performance,performance
100,1.575030,0.275000,0.530,2896563,91.2,0,performance,performance
101,1.569726,0.200000,0.555,3034274,91.5,0,performance,performance
102,1.526962,0.287500,0.549,3000894,91.4,0,performance,performance
103,1.708544,0.262500,0.528,2882927,91.4,0,performance,performance
104,1.600638,0.200000,0.544,2972390,91.4,0,performance,performance
105,1.910080,0.250000,0.533,2909451,91.2,0,performance,performance
106,1.466889,0.262500,0.539,2943608,91.4,0,performance,performance
107,1.571264,0.150000,0.525,2869542,91.4,0,performance,performance
108,1.602578,0.250000,0.564,3078821,91.2,0,performance,performance
109,1.521556,0.225000,0.540,2947761,91.4,0,performance,performance
110,1.391073,0.312500,0.517,2822042,91.4,0,performance,performance
111,1.601071,0.225000,0.524,2863830,91.4,0,performance,performance
112,1.366305,0.312500,0.536,2929623,91.4,0,performance,performance
113,1.676099,0.187500,0.517,2826607,91.2,0,performance,performance
114,1.816613,0.225000,0.499,2725967,91.4,0,performance,performance
115,1.462216,0.300000,0.545,2976528,91.4,0,performance,performance
116,1.454357,0.325000,0.529,2889147,91.4,0,performance,performance
117,1.656108,0.212500,0.569,3110978,91.2,0,performance,performance
118,1.503663,0.275000,0.532,2904008,91.2,0,performance,performance
119,1.422205,0.262500,0.542,2962116,91.4,0,performance,performance
120,1.401483,0.300000,0.532,2904415,91.4,0,performance,performance
121,1.297797,0.250000,0.517,2824887,91.2,0,performance,performance
122,1.494348,0.262500,0.519,2836490,91.6,0,performance,performance
123,1.621209,0.237500,0.512,2795505,91.8,0,performance,performance
124,1.612161,0.200000,0.593,3239292,91.6,0,performance,performance
125,1.480253,0.262500,0.527,2880219,91.8,0,performance,performance
126,1.470152,0.225000,0.505,2757870,92.0,0,performance,performance
127,1.638070,0.175000,0.554,3028617,92.0,0,performance,performance
128,1.421185,0.250000,0.540,2950391,91.8,0,performance,performance
129,1.356896,0.287500,0.534,2916094,91.5,0,performance,performance
130,1.723306,0.137500,0.555,3032564,91.4,0,performance,performance
131,1.497260,0.287500,0.556,3035359,91.4,0,performance,performance
132,1.607360,0.237500,0.564,3078308,91.2,0,performance,performance
133,1.388580,0.225000,0.532,2906663,91.2,0,performance,performance
134,1.455451,0.250000,0.591,3229131,91.4,0,performance,performance
135,1.640047,0.262500,0.532,2904609,91.4,0,performance,performance
136,1.296626,0.237500,0.529,2888510,91.4,0,performance,performance
137,1.517511,0.275000,0.533,2911551,91.4,0,performance,performance
138,1.504241,0.250000,0.543,2966756,91.2,0,performance,performance
139,1.687880,0.150000,0.492,2688376,91.4,0,performance,performance
140,1.774816,0.225000,0.536,2925901,91.4,0,performance,performance
141,1.578491,0.250000,0.506,2762001,91.2,0,performance,performance
142,1.620153,0.212500,0.512,2795196,91.5,0,performance,performance
143,1.360530,0.300000,0.530,2896153,91.9,0,performance,performance
144,1.501277,0.200000,0.524,2861219,91.8,0,performance,performance
145,1.450430,0.225000,0.525,2867023,91.6,0,performance,performance
146,1.405165,0.275000,0.514,2807113,91.6,0,performance,performance
147,1.626046,0.187500,0.519,2833153,91.8,0,performance,performance
148,1.667708,0.187500,0.532,2905903,91.9,0,performance,performance
149,1.537657,0.262500,0.529,2889625,92.0,0,performance,performance
150,1.350922,0.375000,0.530,2897011,91.9,0,performance,performance
151,1.680163,0.250000,0.525,2867366,91.8,0,performance,performance
152,1.585945,0.262500,0.536,2929750,91.9,0,performance,performance
153,1.661559,0.275000,0.524,2861031,91.6,0,performance,performance
154,1.354912,0.225000,0.540,2949010,91.6,0,performance,performance
155,1.551689,0.275000,0.532,2904767,91.8,0,performance,performance
156,1.453780,0.300000,0.551,3011026,91.5,0,performance,performance
157,1.498256,0.250000,0.536,2928434,91.4,0,performance,performance
158,1.467429,0.300000,0.538,2937485,91.4,0,performance,performance
159,1.741973,0.112500,0.522,2853138,91.4,0,performance,performance
